name,date,pop,n_leq5,total_cases,zips,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,school_opening_status
Rothsay Public School District,2020-08-20,28140,4,177,"56514, 56533, 56537, 56543, 56553, 56572, 56579, 56594",156,21,37,7.462686567164179,13.148542999289267,17.385293020392503,4.270842799533246,All In-Person
Round Lake-Brewster Public Schools,2020-08-20,18650,0,1712,"56119, 56131, 56161, 56167, 56187",1674,38,38,20.37533512064343,20.37533512064343,26.85375412644461,13.896916114842258,All Hybrid
Royalton Public School District,2020-08-20,35290,1,149,"56314, 56329, 56345, 56364, 56367, 56373",128,21,25,5.950694247662227,7.084159818645508,9.861150467554548,3.4055402771001857,All In-Person
RTR Public Schools,2020-08-20,21720,5,432,"56113, 56115, 56139, 56142, 56149, 56157, 56169, 56170, 56178, 56186, 56258",412,20,40,9.208103130755065,18.41620626151013,24.123447710801127,5.1724740000924605,All In-Person
Rush City Public School District,2020-08-20,21300,0,58,"55006, 55032, 55063, 55069, 55080",40,18,18,8.450704225352114,8.450704225352114,12.354730397536994,4.5466780531672315,All In-Person
Rushford-Peterson Public Schools,2020-08-20,14570,5,49,"55943, 55949, 55952, 55954, 55962, 55971, 55974, 55979",29,20,40,13.726835964310226,27.45367192862045,35.96165300470834,7.710784851201664,Elem In-Person / HS Hybrid
Sartell-St. Stephen School District,2020-08-20,57170,0,904,"56303, 56367, 56374, 56375, 56377",855,49,49,8.570928808815813,8.570928808815813,10.970788875284239,6.171068742347385,All In-Person
Sauk Centre Public School District,2020-08-20,22048,0,309,"56312, 56316, 56336, 56352, 56360, 56378, 56385, 56389",287,22,22,9.978229317851959,9.978229317851959,14.14786596936408,5.808592666339839,All In-Person
Sauk Rapids-Rice Public Schools,2020-08-20,86620,0,1483,"56303, 56304, 56329, 56367, 56373, 56377, 56379",1404,79,79,9.12029554375433,9.12029554375433,11.131477840907245,7.109113246601414,All In-Person
Sebeka Public School District,2020-08-20,21470,1,49,"56464, 56477, 56479, 56481, 56482, 56567",39,10,14,4.657661853749418,6.520726595249185,9.936492071763821,1.7708131281182937,All In-Person
Shakopee Public School District,2020-08-20,119970,0,1622,"55315, 55352, 55372, 55378, 55379",1333,289,289,24.089355672251397,24.089355672251397,26.86671667916979,21.311994665333,All Hybrid
Sibley-Ocheyedan Community School District,2020-08-20,910,0,18,56168,16,2,2,21.978021978021978,21.978021978021978,52.43800639836556,0,All Hybrid
Sibley East School District,2020-08-20,55810,1,388,"55307, 55334, 55338, 55339, 55396, 56011, 56044, 56054, 56058, 56073, 56074, 56082",309,79,83,14.155169324493817,14.871886758645402,18.07139398228325,11.033710614954568,Elem In-Person / HS Hybrid
Sisseton School District 54-2,2020-08-20,530,1,2,56219,0,2,6,37.735849056603776,113.2075471698113,203.79245086518924,0,Elem Hybrid / HS Distance
Sleepy Eye Public School District,2020-08-20,32470,2,308,"56019, 56041, 56073, 56081, 56085, 56087, 56266",271,37,45,11.395133969818293,13.858946720049275,17.90824752315946,7.723370939518169,Elem In-Person / HS Hybrid
South Koochiching School District,2020-08-20,13439,2,86,"56623, 56627, 56629, 56639, 56649, 56653, 56654, 56658, 56660, 56661",75,11,19,8.185132822382618,14.13795669320634,20.49515732520256,3.3480284328472476,All In-Person
South St. Paul Public School District,2020-08-20,68100,0,1099,"55075, 55076, 55118",929,170,170,24.963289280469898,24.963289280469898,28.715899181849394,21.2106793790904,All Hybrid
South Washington County School District,2020-08-20,181470,0,2264,"55001, 55016, 55033, 55055, 55071, 55119, 55125, 55129",1897,367,367,20.223728439962528,20.223728439962528,22.292841701598572,18.154615178326484,All Hybrid
Southland Public School District,2020-08-20,33760,4,1096,"55909, 55912, 55918, 55926, 55933, 55936, 55970, 55973, 55977",1049,47,63,13.921800947867299,18.661137440758292,23.269258800076955,9.941622329151052,Elem In-Person / HS Hybrid
Spring Grove School District,2020-08-20,10620,3,21,"55921, 55931, 55943, 55954, 55974",10,11,23,10.357815442561206,21.657250470809792,30.508314299145884,4.236737675050297,Elem In-Person / HS Hybrid
