zip,pop,cases,date,total_cases,n_leq5,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,current_rate,school_opening_status
55070,7370,175,2020-10-29,175,0,113,62,62,84.1248303934871,84.1248303934871,105.06520411541811,63.18445667155611,84.1248303934871,All Distance
55071,5420,147,2020-10-29,147,0,127,20,20,36.90036900369004,36.90036900369004,53.072668767157154,20.728069240222926,36.90036900369004,Elem Hybrid / HS Distance
55072,2680,213,2020-10-29,213,0,199,14,14,52.23880597014926,52.23880597014926,79.6031659629736,24.874445977324907,52.23880597014926,All Distance
55073,3460,41,2020-10-29,41,0,27,14,14,40.46242774566474,40.46242774566474,61.65794357825701,19.266911913072473,40.46242774566474,Elem Hybrid / HS Distance
55074,2070,56,2020-10-29,56,0,34,22,22,106.28019323671498,106.28019323671498,150.69185936837644,61.86852710505352,106.28019323671498,All Distance
55075,19370,573,2020-10-29,573,0,516,57,57,29.426948890036137,29.426948890036137,37.066430301048364,21.78746747902392,29.426948890036137,All Hybrid
55076,21320,561,2020-10-29,561,0,479,82,82,38.46153846153847,38.46153846153847,46.78637658102689,30.136700342050034,38.46153846153847,Elem Hybrid / HS Distance
55077,13010,390,2020-10-29,390,0,339,51,51,39.20061491160646,39.20061491160646,49.95941561871175,28.441814204501163,39.20061491160646,Elem Hybrid / HS Distance
55079,8280,139,2020-10-29,139,0,97,42,42,50.724637681159415,50.724637681159415,66.06552145999929,35.383753902319555,50.724637681159415,All Distance
55080,2570,36,2020-10-29,36,0,31,5,5,19.45525291828794,19.45525291828794,36.508533991827186,2.401971844748686,19.45525291828794,Elem In-Person / HS Hybrid
55082,34610,726,2020-10-29,726,0,604,122,122,35.24992776654146,35.24992776654146,41.505029642787356,28.994825890295573,35.24992776654146,Elem Hybrid / HS Distance
55084,1590,21,2020-10-29,21,0,17,4,4,25.157232704402514,25.157232704402514,49.81132075471698,0.5031446540880508,25.157232704402514,All Hybrid
55085,421,8,2020-10-29,8,0,2,6,6,142.51781472684087,142.51781472684087,256.5558170036824,28.479812449999326,142.51781472684087,All Distance
55087,280,2,2020-10-29,2,1,2,0,4,0,142.85714285714286,282.8571428571429,0,0,All Distance
55088,1750,32,2020-10-29,32,0,25,7,7,40,40,69.63241468392343,10.367585316076585,40,Elem Hybrid / HS Distance
55089,1850,37,2020-10-29,37,0,25,12,12,64.86486486486486,64.86486486486486,101.56561711172972,28.164112618000004,64.86486486486486,All Distance
55090,473,2,2020-10-29,2,1,2,0,4,0,84.56659619450318,167.4418604651163,0,0,Elem Hybrid / HS Distance
55092,10170,191,2020-10-29,191,0,142,49,49,48.18092428711898,48.18092428711898,61.67158308751229,34.690265486725664,48.18092428711898,Elem Hybrid / HS Distance
55101,5660,151,2020-10-29,151,0,131,20,20,35.3356890459364,35.3356890459364,50.82223758268405,19.849140509188736,35.3356890459364,Elem Hybrid / HS Distance
55102,14960,444,2020-10-29,444,0,392,52,52,34.75935828877005,34.75935828877005,44.20705949185751,25.311657085682597,34.75935828877005,Elem Hybrid / HS Distance
55103,11560,489,2020-10-29,489,0,410,79,79,68.33910034602076,68.33910034602076,83.40904935807833,53.269151333963194,68.33910034602076,All Distance
55104,36640,1140,2020-10-29,1140,0,1013,127,127,34.661572052401745,34.661572052401745,40.68997768351144,28.63316642129206,34.661572052401745,Elem Hybrid / HS Distance
55105,22710,421,2020-10-29,421,0,353,68,68,29.942756494936148,29.942756494936148,37.05969795351001,22.825815036362297,29.942756494936148,All Hybrid
55106,53360,1906,2020-10-29,1906,0,1710,196,196,36.73163418290855,36.73163418290855,41.87406296851574,31.58920539730135,36.73163418290855,Elem Hybrid / HS Distance
55107,13020,541,2020-10-29,541,0,479,62,62,47.61904761904762,47.61904761904762,59.47239280573206,35.76570243236318,47.61904761904762,Elem Hybrid / HS Distance
55108,12130,322,2020-10-29,322,0,283,39,39,32.15169002473207,32.15169002473207,42.24253592486468,22.060844124599456,32.15169002473207,Elem Hybrid / HS Distance
55109,31600,1073,2020-10-29,1073,0,941,132,132,41.77215189873418,41.77215189873418,48.898318219756035,34.645985577712324,41.77215189873418,Elem Hybrid / HS Distance
55110,37210,849,2020-10-29,849,0,674,175,175,47.03036818059662,47.03036818059662,53.99848504392179,40.06225131727144,47.03036818059662,Elem Hybrid / HS Distance
55112,41520,1269,2020-10-29,1269,0,1086,183,183,44.075144508670526,44.075144508670526,50.46107623954687,37.68921277779417,44.075144508670526,Elem Hybrid / HS Distance
55113,37230,1048,2020-10-29,1048,0,899,149,149,40.02148804727371,40.02148804727371,46.44771662821328,33.59525946633412,40.02148804727371,Elem Hybrid / HS Distance
55114,2480,136,2020-10-29,136,0,117,19,19,76.61290322580645,76.61290322580645,111.06226584411178,42.163540607501126,76.61290322580645,All Distance
55115,8690,209,2020-10-29,209,0,172,37,37,42.5776754890679,42.5776754890679,56.297139884216925,28.858211093918865,42.5776754890679,Elem Hybrid / HS Distance
